,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,量産前,,,,,,量産後,,,,,,,,,,,,,,,,,
,シリーズ名,◯◯コラボ,,,商品企画課 記入,,,,,試作課,製造部,企画課,生産管理課,,修正,,,,,,,,,,,,,,,,,
,商品名,◯◯トートバッグ小,,,製造部 記入,,,,作成者,◯◯,,◯◯,,進藤,,,,,,,,,,,,,,,,,,
,色,,,,試作課 記入,,,,作成日,2026/2/11,,2026/2/13,,2026/3/17,,,,,,,,,,,,,,,,,,
,品番,,,,製造部・生産管理課　記入,,,,確認者,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,確認日,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,原厚指定±0.2はブレの範囲,,,,裁断後厚より0.3以下,,,,,,,,,,,,
,,,型番,抜型名,革名,革仕入先,リードタイム,単価,正味数量（枚）,使用数,実用尺,"ロス率
（%）",ロス込み数量,金額,元厚,原厚,目の指定,"大漉き（裁断後）
裁断担当","本抜き（大漉後）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,外注加工費,,,,,,,,,,,,, 300 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,作業時間,,,単価,,,,,労務費,,,,,,,,,,,,,,,,,,
,裁断労務費,,1.2,,,31分,,,36.8円,,,,," 1,148 ",2025.0509(労務費単価35.6円→36.8円に変更),,,,,,,,,,,,,,,,,
,製造労務費,,,,,343分,,,36.8円,,,,," 12,630 ",（384工程、難易度中、実測286分・工程積み上げ390）,,,,,,,,,,,,,,,,,
,直接労務費,,,,,374分,,,36.8円,,,,," 13,778 ",＊量産掛率として実測時間×1.2で算出,,,,,,,,,,,,,,,,,
,総労務費（間接労務費込）,,,,,,,,,,,,," 16,209 ",2026.0109(直接労務時間割合85%:間接労務時間割合15%として総労務費を算出),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,製造経費,,,,,,,,,,,,10.5円," 3,931 ",2025.0509(製造経費、材料費+労務費の14％→製造経費分給（10.5円/分）✕労務時間に変更),,,,,,,,,,,,,,,,,
,製造経費（間接労務費込）,,,,,,,,,,,,," 4,625 ",2026.0109(直接労務時間割合85%:間接労務時間割合15%として総経費を算出),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,製造原価比較用,,,,,,,,,,,,," 24,123 ",＊間接労務費無し←比較はこちらを参照　＊企業案件はこちらで登録,,,,,,,,,,,,,,,,,
,製造原価登録用,,,,,,,,,,,,," 27,248 ",＊間接労務費込み←登録はこちらを入力,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,間接労務費," 3,125 ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,＊間接労務費無し,原価率,80.1%,上代（税抜き）," 30,128 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,＊間接労務費込み,原価率,90.4%,上代（税込み）," 33,141 ",,,,,,,,,,,,,,,,,,,,,,,,
